Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
58124-84704,SG,Kevin,Kevin Huerter,Huerter,24.84677419,62,5900,CHI@ATL,ATL,CHI,GTD,Shoulder,,,,SG
58124-58253,C,Myles,Myles Turner,Turner,33.21702024,47,5900,IND@OKC,IND,OKC,O,Toe,,,,C
58124-145307,PF,Isaiah,Isaiah Stewart,Stewart,21.05901599,61,5900,DET@CHA,DET,CHA,,,,,,PF
58124-24544,SG,Gary,Gary Harris,Harris,18.80999959,30,5900,MEM@ORL,ORL,MEM,,,,,,SG
58124-84683,PF,Jaren,Jaren Jackson,Jackson,29.27499962,4,5800,MEM@ORL,MEM,ORL,GTD,Knee,,,,PF
58124-59318,SF,Joe,Joe Ingles,Ingles,24.14482801,58,5800,TOR@UTA,UTA,TOR,,,,,,SF
58124-9662,SG,Lou,Lou Williams,Williams,20.69310261,58,5800,CHI@ATL,ATL,CHI,,,,,,SG
58124-9874,PF,Kevin,Kevin Love,Love,23.26000061,20,5700,MIA@CLE,CLE,MIA,,,,,,PF
58124-63126,SF,Cedi,Cedi Osman,Osman,19.94905753,53,5700,MIA@CLE,CLE,MIA,,,,,,SF
58124-84675,C,Mo,Mo Bamba,Bamba,17.75384678,39,5700,MEM@ORL,ORL,MEM,,,,,,C
58124-145485,PG,LaMelo,LaMelo Ball,Ball,35.08536585,41,5600,DET@CHA,CHA,DET,,,,,,PG
58124-40562,SG,Josh,Josh Hart,Hart,24.48723456,47,5600,NO@MIN,NO,MIN,O,Thumb,,,,SG
58124-17333,SG,Will,Will Barton,Barton,24.5839277,56,5600,DEN@LAC,DEN,LAC,O,Hamstring,,,,SG
58124-16376,SF,Dorian,Dorian Finney-Smith,Finney-Smith,22.25399902,50,5600,WAS@DAL,DAL,WAS,,,,,,SF
58124-84676,C,Wendell,Wendell Carter,Carter,27.38163166,49,5500,MEM@ORL,ORL,MEM,,,,,,C
58124-110346,PF,Isaiah,Isaiah Roby,Roby,21.75192261,52,5500,IND@OKC,OKC,IND,,,,,,PF
58124-15684,SG,Victor,Victor Oladipo,Oladipo,35.37878788,33,5500,MIA@CLE,MIA,CLE,O,Knee,,,,SG
58124-9637,SF,Danilo,Danilo Gallinari,Gallinari,21.24545427,44,5500,CHI@ATL,ATL,CHI,,,,,,SF
58124-15814,C,Alex,Alex Len,Len,15.85454545,55,5500,WAS@DAL,WAS,DAL,,,,,,C
58124-101329,PG,Kendrick,Kendrick Nunn,Nunn,24.20208232,48,5500,MIA@CLE,MIA,CLE,,,,,,PG
58124-12362,C,DeMarcus,DeMarcus Cousins,Cousins,22.82646987,34,5400,DEN@LAC,LAC,DEN,,,,,,C
58124-19781,SF,Kent,Kent Bazemore,Bazemore,16.20689655,58,5400,GS@HOU,GS,HOU,,,,,,SF
58124-80809,SG,Josh,Josh Jackson,Jackson,24.23859606,57,5400,DET@CHA,DET,CHA,,,,,,SG
58124-9666,PF,Thaddeus,Thaddeus Young,Young,28.8203394,59,5400,CHI@ATL,CHI,ATL,,,,,,PF
58124-18393,PG,T.J.,T.J. McConnell,McConnell,26.65762795,59,5400,IND@OKC,IND,OKC,,,,,,PG
58124-81529,PF,Daniel,Daniel Theis,Theis,21.90833333,60,5300,CHI@ATL,CHI,ATL,,,,,,PF
58124-14523,PG,Reggie,Reggie Jackson,Jackson,19.64000041,60,5300,DEN@LAC,LAC,DEN,,,,,,PG
58124-15559,SF,Jeremy,Jeremy Lamb,Lamb,20.79722256,36,5300,IND@OKC,IND,OKC,GTD,Knee,,,,SF
58124-110339,SG,Cam,Cam Reddish,Reddish,21.58846107,26,5300,CHI@ATL,ATL,CHI,O,Achilles,,,,SG
58124-80816,SG,Malik,Malik Monk,Monk,19.546875,32,5300,DET@CHA,CHA,DET,GTD,Ankle,,,,SG
58124-145536,PG,Theo,Theo Maledon,Maledon,20.17368464,57,5200,IND@OKC,OKC,IND,,,,,,PG
58124-23716,SF,Kyle,Kyle Anderson,Anderson,29.42333374,60,5200,MEM@ORL,MEM,ORL,,,,,,SF
58124-84695,SG,Gary,Gary Trent,Trent,23.02363725,55,5200,TOR@UTA,TOR,UTA,O,Lower leg,,,,SG
58124-60233,SG,Dillon,Dillon Brooks,Brooks,26.50344743,58,5200,MEM@ORL,MEM,ORL,,,,,,SG
58124-84690,SG,Jalen,Jalen Brunson,Brunson,22.35344828,58,5100,WAS@DAL,DAL,WAS,,,,,,SG
58124-110312,SG,Tyler,Tyler Herro,Herro,27.07499949,48,5100,MIA@CLE,MIA,CLE,O,Foot,,,,SG
58124-110336,PF,Chuma,Chuma Okeke,Okeke,19.77111138,45,5100,MEM@ORL,ORL,MEM,GTD,Ankle,,,,PF
58124-58270,PG,Edmond,Edmond Sumner,Sumner,12.44693927,49,5100,IND@OKC,IND,OKC,,,,,,PG
58124-66061,SG,Dwayne,Dwayne Bacon,Bacon,17.29841347,63,5000,MEM@ORL,ORL,MEM,,,,,,SG
58124-145547,PG,Facundo,Facundo Campazzo,Campazzo,15.43508751,57,5000,DEN@LAC,DEN,LAC,,,,,,PG
58124-18338,PF,Royce,Royce O'Neale,O'Neale,21.74032297,62,5000,TOR@UTA,UTA,TOR,,,,,,PF
58124-145328,SF,Saddiq,Saddiq Bey,Bey,20.30655658,61,5000,DET@CHA,DET,CHA,,,,,,SF
